YEAR,QUARTER,MONTH,AIRLINE_ID,UNIQUE_CARRIER,CARRIER,CARRIER_NAME,CARRIER_GROUP_NEW,SALA_GALLONS,SDOM_GALLONS,SDOMT_GALLONS,SATL_GALLONS,SPAC_GALLONS,SLAT_GALLONS,SINT_GALLONS,TS_GALLONS,NALA_GALLONS,NDOM_GALLONS,NDOMT_GALLONS,NATL_GALLONS,NPAC_GALLONS,NLAT_GALLONS,MAC_GALLONS,NINT_GALLONS,TN_GALLONS,TDOMT_GALLONS,TINT_GALLONS,TOTAL_GALLONS,SALA_COST,SDOM_COST,SDOMT_COST,SATL_COST,SPAC_COST,SLAT_COST,SINT_COST,TS_COST,NALA_COST,NDOM_COST,NDOMT_COST,NATL_COST,NPAC_COST,NLAT_COST,MAC_COST,NINT_COST,TN_COST,TDOMT_COST,TINT_COST,TOTAL_COST
2025,1,1,20500,G7,G7,GoJet Airlines LLC d/b/a United Express,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,21492,1BQ,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,88395.00,88395.00,0.00,0.00,0.00,74895.00,74895.00,163290.00,88395.00,74895.00,163290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,318222.00,318222.00,0.00,0.00,0.00,269622.00,269622.00,587844.00,318222.00,269622.00,587844.00
2025,1,1,21518,1EQ,1EQ,"KaiserAir, Inc.",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158948.00,158948.00,0.00,0.00,0.00,0.00,0.00,158948.00,158948.00,0.00,158948.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,575991.00,575991.00,0.00,0.00,0.00,0.00,0.00,575991.00,575991.00,0.00,575991.00
2025,1,1,21629,KD,KD,Western Global,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,430082.00,979047.00,1409129.00,0.00,562302.00,82979.00,451676.00,1096957.00,2506086.00,1409129.00,1096957.00,2506086.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1025402.00,2747852.00,3773254.00,0.00,1314416.00,0.00,1411726.00,2726142.00,6499396.00,3773254.00,2726142.00,6499396.00
2025,1,1,21634,KH,KH,Aloha Air Cargo,2,0.00,557299.00,557299.00,0.00,0.00,0.00,0.00,557299.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,557299.00,0.00,557299.00,0.00,1200584.00,1200584.00,0.00,0.00,0.00,0.00,1200584.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1200584.00,0.00,1200584.00
2025,1,1,21652,27Q,27Q,"Jet Aviation Flight Services, Inc.",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,21754,2PQ,2PQ,21 Air LLC,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,21875,37Q,37Q,"Eastern Air Express, LLC (EAX)",1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,153827.00,153827.00,0.00,0.00,107094.00,0.00,107094.00,260921.00,153827.00,107094.00,260921.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,427638.00,427638.00,0.00,0.00,297719.00,0.00,297719.00,725357.00,427638.00,297719.00,725357.00
2025,1,1,21974,3EQ,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025,1,1,22080,MX,MX,Breeze Aviation Group DBA  Breeze,2,0.00,5747848.00,5747848.00,0.00,0.00,0.00,0.00,5747848.00,0.00,700479.00,700479.00,0.00,0.00,0.00,0.00,0.00,700479.00,6448327.00,0.00,6448327.00,0.00,15916620.00,15916620.00,0.00,0.00,0.00,0.00,15916620.00,0.00,1939727.00,1939727.00,0.00,0.00,0.00,0.00,0.00,1939727.00,17856347.00,0.00,17856347.00
2025,1,1,22085,GCA,GCA,"Global Crossing Airlines, Inc.",2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,878656.00,878656.00,0.00,0.00,1007901.00,0.00,1007901.00,1886557.00,878656.00,1007901.00,1886557.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2057731.00,2057731.00,0.00,0.00,2362400.00,0.00,2362400.00,4420131.00,2057731.00,2362400.00,4420131.00
2025,1,2,19393,WN,WN,Southwest Airlines Co.,3,0.00,151001520.00,151001520.00,0.00,0.00,1803931.00,1803931.00,152805451.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,151001520.00,1803931.00,152805451.00,0.00,356171537.00,356171537.00,0.00,0.00,5029640.00,5029640.00,361201177.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,356171537.00,5029640.00,361201177.00
